frame,requirement_id,frame_domain_id,trace_id,entry_state_sha256,time_ms,scenario,language,kind,expected_state,trigger,baseline_file,baseline_sha256,implementation_file,implementation_sha256,diff_file,diff_sha256,normalized_rmse,timing_result,visual_result,evidence_source,reviewer,notes
1,req:root:root-standalone:en,root,trace:root:root-standalone:en:seed-0,4dfbb3290627139f130afd170b4c6d925c09dd7262e32d9cbc1e1142632f9deb,0.001,root-standalone,en,static,uniform audited source background and root stop,direct-seek-root-frame,,,output/playwright/schema-v4-queue/course-g03-l06-ti-001/req-root-root-standalone-en/frame-001.png,87207dc5a2e5c96e9d09c01729b642d7e0f3ad836426aedc66fd86f5266b2f0d,,,,,,audit/trace-specs/req-root-root-standalone-en.json,,"Authoritative lossless baseline pending Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
6,req:root:root-standalone:en,root,trace:root:root-standalone:en:seed-0,4dfbb3290627139f130afd170b4c6d925c09dd7262e32d9cbc1e1142632f9deb,416.668,root-standalone,en,static,uniform background with begin placement structure and root stop,direct-seek-root-frame,,,output/playwright/schema-v4-queue/course-g03-l06-ti-001/req-root-root-standalone-en/frame-006.png,87207dc5a2e5c96e9d09c01729b642d7e0f3ad836426aedc66fd86f5266b2f0d,,,,,,audit/trace-specs/req-root-root-standalone-en.json,,"Direct seek proves structure only and not natural host entry Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
10,req:root:root-standalone:en,root,trace:root:root-standalone:en:seed-0,4dfbb3290627139f130afd170b4c6d925c09dd7262e32d9cbc1e1142632f9deb,750.001,root-standalone,en,static,uniform audited source background,direct-seek-root-frame,,,output/playwright/schema-v4-queue/course-g03-l06-ti-001/req-root-root-standalone-en/frame-010.png,87207dc5a2e5c96e9d09c01729b642d7e0f3ad836426aedc66fd86f5266b2f0d,,,,,,audit/trace-specs/req-root-root-standalone-en.json,,"Authoritative lossless baseline pending Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
1,req:root:root-standalone:es,root,trace:root:root-standalone:es:seed-0,437c8f45bab24d4e392fe021c9731ea0d96ac832931de29d38648196e7e44eea,0.001,root-standalone,es,static,uniform language-neutral audited source background and root stop,direct-seek-root-frame,,,output/playwright/schema-v4-queue/course-g03-l06-ti-001/req-root-root-standalone-es/frame-001.png,87207dc5a2e5c96e9d09c01729b642d7e0f3ad836426aedc66fd86f5266b2f0d,,,,,,audit/trace-specs/req-root-root-standalone-es.json,,"Authoritative lossless baseline pending Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
6,req:root:root-standalone:es,root,trace:root:root-standalone:es:seed-0,437c8f45bab24d4e392fe021c9731ea0d96ac832931de29d38648196e7e44eea,416.668,root-standalone,es,static,uniform language-neutral background with begin placement structure and root stop,direct-seek-root-frame,,,output/playwright/schema-v4-queue/course-g03-l06-ti-001/req-root-root-standalone-es/frame-006.png,87207dc5a2e5c96e9d09c01729b642d7e0f3ad836426aedc66fd86f5266b2f0d,,,,,,audit/trace-specs/req-root-root-standalone-es.json,,"Direct seek proves structure only and not historical Spanish host routing Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
10,req:root:root-standalone:es,root,trace:root:root-standalone:es:seed-0,437c8f45bab24d4e392fe021c9731ea0d96ac832931de29d38648196e7e44eea,750.001,root-standalone,es,static,uniform language-neutral audited source background,direct-seek-root-frame,,,output/playwright/schema-v4-queue/course-g03-l06-ti-001/req-root-root-standalone-es/frame-010.png,87207dc5a2e5c96e9d09c01729b642d7e0f3ad836426aedc66fd86f5266b2f0d,,,,,,audit/trace-specs/req-root-root-standalone-es.json,,"Authoritative lossless baseline pending Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
1,req:sprite-21:sound-0:en,sprite-21,trace:sprite-21:sound-0:en:seed-0,3e754f7ac4b93f74fab35694723f3aa289a781b0f59a87b24f893d2e39d8d7d8,0.001,sound-0,en,teaching,source drawing with naturally observed Mc_Sound_0 stopped at child frame 1,untouched-original-runtime-reload,,,output/playwright/schema-v4-queue/course-g03-l06-ti-001/req-sprite-21-sound-0-en/frame-001.png,87207dc5a2e5c96e9d09c01729b642d7e0f3ad836426aedc66fd86f5266b2f0d,,,,,,audit/trace-specs/req-sprite-21-sound-0-en.json,,"Natural source outcome and authoritative lossless baseline pending Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
5,req:sprite-21:sound-0:en,sprite-21,trace:sprite-21:sound-0:en:seed-0,3e754f7ac4b93f74fab35694723f3aa289a781b0f59a87b24f893d2e39d8d7d8,333.334,sound-0,en,transition,exact gotoAndPlay child-frame-2 request and one-frame audio-start request,source timeline progression,,,output/playwright/schema-v4-queue/course-g03-l06-ti-001/req-sprite-21-sound-0-en/frame-005.png,87207dc5a2e5c96e9d09c01729b642d7e0f3ad836426aedc66fd86f5266b2f0d,,,,,,audit/trace-specs/req-sprite-21-sound-0-en.json,,"Byte-exact stream restored in the modern sound-0 branch; authoritative listening and synchronization remain pending. Deterministic current JavaScript visual capture recorded; no original-runtime baseline, RMSE, audio acceptance, human-review, owner-review, or strict-completion claim is added. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
6,req:sprite-21:sound-0:en,sprite-21,trace:sprite-21:sound-0:en:seed-0,3e754f7ac4b93f74fab35694723f3aa289a781b0f59a87b24f893d2e39d8d7d8,416.668,sound-0,en,teaching,source visual with selected child tick phase unresolved,source timeline progression,,,output/playwright/schema-v4-queue/course-g03-l06-ti-001/req-sprite-21-sound-0-en/frame-006.png,87207dc5a2e5c96e9d09c01729b642d7e0f3ad836426aedc66fd86f5266b2f0d,,,,,,audit/trace-specs/req-sprite-21-sound-0-en.json,,"Do not infer child frame from parent frame Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
136,req:sprite-21:sound-0:en,sprite-21,trace:sprite-21:sound-0:en:seed-0,3e754f7ac4b93f74fab35694723f3aa289a781b0f59a87b24f893d2e39d8d7d8,11250.001,sound-0,en,teaching,last parent frame with both sound instances placed,source timeline progression,,,output/playwright/schema-v4-queue/course-g03-l06-ti-001/req-sprite-21-sound-0-en/frame-136.png,9ebecceab0ef1438dff5dc0c34d3c179ad37762e572a41b4d5b2b0e137cbda17,,,,,,audit/trace-specs/req-sprite-21-sound-0-en.json,,"Child tick phase and audio synchronization unresolved Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
