asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
quart-full-body,141,,vector-shape,Conversion_1_2.swf,,public/flash-assets/conversion-1-2/quart-full-body.svg,e9ac08a79da49cc147d74d42c0386492cc891f912b7205eb6ed56dd716a2684e,svg,x=22.3 y=0 width=47.45 height=109.15,,FFDec lossless vector export; renderer applies authored SWF matrices,high,owner-provided SWF,Full quart body including authored gradient and liquid region
quart-empty-body,150,,vector-shape,Conversion_1_2.swf,,public/flash-assets/conversion-1-2/quart-empty-body.svg,b39e2a60f9477577f6785334818b5f058de6e389f68f7a56ced48ee0249d14c6,svg,x=-52.9 y=-33.85 width=105.8 height=67.75,,FFDec lossless vector export; renderer applies authored SWF matrices,high,owner-provided SWF,Empty quart body used after each pour
quart-label,142,,embedded-font-vector,Conversion_1_2.swf,,public/flash-assets/conversion-1-2/quart-label.svg,bebc9feae69c87c5e33d0389d8184514784f643b33da326d024168894ff996a3,svg,x=0.7 y=5.7 width=42.2 height=15.95,Whitney,FFDec DefineText export; renderer applies authored label matrices,high,owner-provided SWF,Preserves the embedded QUART label glyph outlines
quart-shadows,135,,vector-shape,Conversion_1_2.swf,1-5,public/flash-assets/conversion-1-2/quart-shadows.svg,32f1953b58d127b31a5940dc9fcd2b09bbe70c320147713ad069726fb5a5ccdb,svg,x=92 y=241.7 width=280.8 height=19.2,,FFDec lossless vector export at authored root position,high,owner-provided SWF,Root depth-10 shadows removed after Flash frame 5
formula-en,131,,sprite,Conversion_1_2.swf,,public/flash-assets/conversion-1-2/formula-en.svg,cc6dc9c02e89f58042960a6225fea9c70828d8146655e154fdf8a99d82d6d8f1,svg,x=15.15 y=322.85 width=365.7 height=52.8,embedded-glyph-paths,FFDec DefineSprite export at authored root position,high,owner-provided SWF,English formula reference panel
formula-es,134,Mc_SD,sprite,Conversion_1_2.swf,1-109,public/flash-assets/conversion-1-2/formula-es.svg,130cbd497b2d068b8abdc8556aa732bc9cf9335493e4ca9a0b0c42f1d5660708,svg,x=414.3 y=322.85 width=365.7 height=52.8,embedded-glyph-paths,Exact FFDec DefineSprite 134 export at audited root depth 4 and PlaceObject2 transform,high,owner-provided SWF,Spanish formula panel persists through every source root frame; full child-visual parity is hash-bound in baseline/source-composited-spanish-default.json.
pouring-start,root,,root-frame-vector,Conversion_1_2.swf,FFDec root frame 55; corrected Flash frame 56,public/flash-assets/conversion-1-2/pouring-start.svg,11bf938084a9d65c5604ea6864a78ab34d341b980cbfeb29159449b8c5d07629,svg,stage 780x379; renderer crop x=420 y=15 width=125 height=100,,FFDec root-frame export cropped to authored fourth-pour bottle pose,high,owner-provided SWF,Used only for the exact fourth-pour start pose
replay-up,183,,button-state,Conversion_1_2.swf,up,public/flash-assets/conversion-1-2/replay-up.svg,2d26ce63ad16d6d5174c867b7703853572e88fdb9f895b436ae1ee8e2c46ed21,svg,local width=71.15 height=16.5,Bauhaus Md BT,FFDec DefineButton2 up-state export; root matrix 1.2999878 with tx=782.95 ty=24,high,owner-provided SWF,Interactive semantics and keyboard handling remain on the React SVG wrapper
gallon-level-0,root,gallon,source-derived-raster-stage,Conversion_1_2.swf,,public/flash-assets/conversion-1-2/gallon-0.png,ee08cc634e0c8d9019e4e75161e4c1782de82fc74a5fb4fe14e67d2cd2c9ca6d,png,780x379,,Lossless isolated stage layer used for deterministic fill interpolation,high,owner-provided SWF,Gallon liquid level 0 fluid ounces.
gallon-level-32,root,gallon,source-derived-raster-stage,Conversion_1_2.swf,,public/flash-assets/conversion-1-2/gallon-32.png,067605176a72fd410471c78b3b518bf3a566e6417488996e4d30856fdd3eca0b,png,780x379,,Lossless isolated stage layer used for deterministic fill interpolation,high,owner-provided SWF,Gallon liquid level 32 fluid ounces.
gallon-level-64,root,gallon,source-derived-raster-stage,Conversion_1_2.swf,,public/flash-assets/conversion-1-2/gallon-64.png,1f8f38e5d64ad6f64d7b86ca547f84eac2d632de0187873e1e5ff6cff89f187c,png,780x379,,Lossless isolated stage layer used for deterministic fill interpolation,high,owner-provided SWF,Gallon liquid level 64 fluid ounces.
gallon-level-96,root,gallon,source-derived-raster-stage,Conversion_1_2.swf,,public/flash-assets/conversion-1-2/gallon-96.png,27c824870f25276fc1c826960203b2d2a7ddeeccfbda1a8f62bdb0e0a82dcd4c,png,780x379,,Lossless isolated stage layer used for deterministic fill interpolation,high,owner-provided SWF,Gallon liquid level 96 fluid ounces.
gallon-level-128,root,gallon,source-derived-raster-stage,Conversion_1_2.swf,,public/flash-assets/conversion-1-2/gallon-128.png,e56efa3ec6a524f3b9ffc078c343f72ac066662818df276982a64d330394c5d6,png,780x379,,Lossless isolated stage layer used for deterministic fill interpolation,high,owner-provided SWF,Gallon liquid level 128 fluid ounces.
quart-pouring-full,root,quart bottle,source-derived-raster-stage,Conversion_1_2.swf,,public/flash-assets/conversion-1-2/quart-pouring-full.png,30c708178259cfdb7f4e04d648e0b0c11a72ba788dd72b9fcdf7985218eb4ec4,png,780x379,,Lossless isolated pour layer composited with source matrices,high,owner-provided SWF,Quart pouring full state.
quart-pouring-empty,root,quart bottle,source-derived-raster-stage,Conversion_1_2.swf,,public/flash-assets/conversion-1-2/quart-pouring-empty.png,7b5dbfd5193be7f41814a796937ebfc4f8f7fa11b97ae85c153ca9741a76718c,png,780x379,,Lossless isolated pour layer composited with source matrices,high,owner-provided SWF,Quart pouring empty state.
