frame,requirement_id,frame_domain_id,trace_id,entry_state_sha256,time_ms,scenario,language,kind,expected_state,trigger,baseline_file,baseline_sha256,implementation_file,implementation_sha256,diff_file,diff_sha256,normalized_rmse,timing_result,visual_result,evidence_source,reviewer,notes
1,req:root:root-standalone:en,root,trace:root:root-standalone:en:seed-0,4dfbb3290627139f130afd170b4c6d925c09dd7262e32d9cbc1e1142632f9deb,0,root-standalone,en,root-structural-initial,hash-bound FFDec root drawing 1,exact-frame-query,,,output/playwright/schema-v4-queue/course-g04-l09-gs-002-root-refresh-20260724/req-root-root-standalone-en/frame-001.png,87207dc5a2e5c96e9d09c01729b642d7e0f3ad836426aedc66fd86f5266b2f0d,,,,exact-candidate-frame,candidate-only-not-compared,artifacts/full-frame/pilot-implementation/course-g04-l09-gs-002/req-root-root-standalone-en/capture-manifest.json,,"Structural implementation capture only; no authoritative baseline or RMSE Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
5,req:root:root-standalone:en,root,trace:root:root-standalone:en:seed-0,4dfbb3290627139f130afd170b4c6d925c09dd7262e32d9cbc1e1142632f9deb,333.333,root-standalone,en,root-structural-pre-transition,hash-bound FFDec root drawing immediately before the structural transition,exact-frame-query,,,output/playwright/schema-v4-queue/course-g04-l09-gs-002-root-refresh-20260724/req-root-root-standalone-en/frame-005.png,87207dc5a2e5c96e9d09c01729b642d7e0f3ad836426aedc66fd86f5266b2f0d,,,,exact-candidate-frame,candidate-only-not-compared,artifacts/full-frame/pilot-implementation/course-g04-l09-gs-002/req-root-root-standalone-en/capture-manifest.json,,"Structural implementation capture only; no authoritative baseline or RMSE Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
6,req:root:root-standalone:en,root,trace:root:root-standalone:en:seed-0,4dfbb3290627139f130afd170b4c6d925c09dd7262e32d9cbc1e1142632f9deb,416.667,root-standalone,en,root-structural-transition,hash-bound FFDec root drawing at begin placement,exact-frame-query,,,output/playwright/schema-v4-queue/course-g04-l09-gs-002-root-refresh-20260724/req-root-root-standalone-en/frame-006.png,fee4e79fcb61a006feac58b63f981faaf17a95499771612ce19f082d6fcff0a2,,,,exact-candidate-frame,candidate-only-not-compared,artifacts/full-frame/pilot-implementation/course-g04-l09-gs-002/req-root-root-standalone-en/capture-manifest.json,,"Structural implementation capture only; natural playback remains stopped at frame 1 Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
10,req:root:root-standalone:en,root,trace:root:root-standalone:en:seed-0,4dfbb3290627139f130afd170b4c6d925c09dd7262e32d9cbc1e1142632f9deb,750,root-standalone,en,root-structural-terminal,hash-bound FFDec root drawing 10,exact-frame-query,,,output/playwright/schema-v4-queue/course-g04-l09-gs-002-root-refresh-20260724/req-root-root-standalone-en/frame-010.png,fee4e79fcb61a006feac58b63f981faaf17a95499771612ce19f082d6fcff0a2,,,,exact-candidate-frame,candidate-only-not-compared,artifacts/full-frame/pilot-implementation/course-g04-l09-gs-002/req-root-root-standalone-en/capture-manifest.json,,"Structural implementation capture only; no authoritative baseline or RMSE Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
1,req:sprite-787:source-drawing-lead-in:en,sprite-787,trace:sprite-787:source-drawing-lead-in:en:seed-0,eac16c8a6d549d9073515fb54d06504374f1809e4b2a6e281ea581db58a72363,0,source-drawing-lead-in,en,structural-initial,source-derived sprite-787 opening drawing; no AVM1 or audio,exact-frame-query,,,output/playwright/course-g04-l09-gs-002-next-candidate/keyframes-default-en/frame-001.png,cf714160fab4b9cc92aa5897197bfd007458fcd676f36cec1269ba1b1db3e956,,,,exact-candidate-frame,candidate-only-not-compared,audit/scenario-inventory.json,,No authoritative local-frame baseline pair
331,req:sprite-787:source-drawing-lead-in:en,sprite-787,trace:sprite-787:source-drawing-lead-in:en:seed-0,eac16c8a6d549d9073515fb54d06504374f1809e4b2a6e281ea581db58a72363,27500,source-drawing-lead-in,en,structural-question-overlay,source drawing with a question overlay; runtime question reachability is not claimed,exact-frame-query,,,output/playwright/course-g04-l09-gs-002-next-candidate/keyframes-default-en/frame-331.png,710bca3cd7a5a06216f8af53828133c509c69953ef9bd54e5c25f2f0834f587c,,,,exact-candidate-frame,candidate-only-not-compared,audit/scenario-inventory.json,,Static exported composition only
641,req:sprite-787:source-drawing-lead-in:en,sprite-787,trace:sprite-787:source-drawing-lead-in:en:seed-0,eac16c8a6d549d9073515fb54d06504374f1809e4b2a6e281ea581db58a72363,53333.333,source-drawing-lead-in,en,lead-in-transition,source drawing immediately before the GS_Begin stop,exact-frame-query,,,output/playwright/course-g04-l09-gs-002-next-candidate/keyframes-default-en/frame-641.png,7a1a59730c10e3076b24b82ee0af2884b9887cdb61b2c7f2f37db30262dac291,,,,exact-candidate-frame,candidate-only-not-compared,audit/scenario-inventory.json,,No baseline or RMSE
642,req:sprite-787:source-drawing-lead-in:en,sprite-787,trace:sprite-787:source-drawing-lead-in:en:seed-0,eac16c8a6d549d9073515fb54d06504374f1809e4b2a6e281ea581db58a72363,53416.667,source-drawing-lead-in,en,blocked-scripted-stop,GS_Begin executes AVM1 initialization and hides Mc_Popup plus Robos_1 through Robos_8; the static adapter executes none of those actions,exact-frame-query,,,output/playwright/course-g04-l09-gs-002-candidate-qa-factory/blocked-host-1-source-drawing-lead-in-en.png,254ee4f84e5faf4f28a1e60dea42b8534e882f191457ff912568dddd6c474962,,,,exact-fail-closed,candidate-only-not-compared,audit/machine/ffdec-scripts.txt.gz,,Frame 642 is deliberately withheld; the earlier static Canvas screenshot is retained only as rejected diagnostic evidence
643,req:sprite-787:source-drawing-lead-in:en,sprite-787,trace:sprite-787:source-drawing-lead-in:en:seed-0,eac16c8a6d549d9073515fb54d06504374f1809e4b2a6e281ea581db58a72363,53500,source-drawing-lead-in,en,blocked-question,Q1 requires unresolved AVM1 parent/global/random state and fails closed,exact-frame-query,,,output/playwright/course-g04-l09-gs-002-next-candidate/fail-closed-question-final-en/frame-643.png,77733dbba21707d28bb95c46cc1f1b667c5cdbd876d36efa596084331138b781,,,,exact-fail-closed,candidate-only-not-compared,audit/scenario-inventory.json,,Static exported Q1 drawing is deliberately not shown as reachable runtime behavior
653,req:sprite-787:source-drawing-lead-in:en,sprite-787,trace:sprite-787:source-drawing-lead-in:en:seed-0,eac16c8a6d549d9073515fb54d06504374f1809e4b2a6e281ea581db58a72363,54333.333,source-drawing-lead-in,en,blocked-terminal,Final requires unresolved score/terminal/Replay state and fails closed,exact-frame-query,,,output/playwright/course-g04-l09-gs-002-next-candidate/fail-closed-question-final-en/frame-653.png,77733dbba21707d28bb95c46cc1f1b667c5cdbd876d36efa596084331138b781,,,,exact-fail-closed,candidate-only-not-compared,audit/scenario-inventory.json,,No source terminal parity claim
